"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Aug-2024","EQ","4,884.00","4,884.00","4,691.55","4,968.80","4,713.00","4,726.70","4,766.00","5,058.90","3,274.90","21,20,560","10,10,65,90,776.55","1,86,465"
"01-Aug-2024","EQ","4,970.50","5,023.00","4,903.50","4,962.70","4,963.65","4,968.80","4,947.14","5,058.90","3,274.90","6,54,655","3,23,86,72,967.25","72,234"
"31-Jul-2024","EQ","4,951.85","4,992.80","4,939.95","4,951.85","4,980.00","4,962.70","4,966.20","5,058.90","3,274.90","5,67,283","2,81,72,38,504.30","63,237"
"30-Jul-2024","EQ","4,950.05","4,978.65","4,904.15","4,962.25","4,950.00","4,951.85","4,933.52","5,058.90","3,274.90","6,83,440","3,37,17,65,193.40","85,701"
"29-Jul-2024","EQ","5,034.00","5,047.95","4,931.15","5,012.50","4,968.00","4,962.25","4,964.95","5,058.90","3,274.90","3,38,482","1,68,05,46,759.15","54,014"
"26-Jul-2024","EQ","4,896.80","5,058.90","4,863.75","4,900.65","5,013.00","5,012.50","5,000.40","5,058.90","3,274.90","6,25,674","3,12,86,17,388.65","67,434"
"25-Jul-2024","EQ","4,900.00","4,923.45","4,872.35","4,915.35","4,895.10","4,900.65","4,902.09","4,976.00","3,274.90","4,13,861","2,02,87,85,497.65","49,437"
"24-Jul-2024","EQ","4,918.00","4,942.30","4,879.00","4,919.55","4,922.00","4,915.35","4,904.86","4,976.00","3,274.90","4,00,075","1,96,23,11,435.05","53,167"
"23-Jul-2024","EQ","4,857.05","4,975.00","4,785.95","4,857.35","4,908.00","4,919.55","4,905.52","4,976.00","3,274.90","11,28,441","5,53,55,84,889.50","79,248"
"22-Jul-2024","EQ","4,767.00","4,869.90","4,759.60","4,850.70","4,850.00","4,857.35","4,827.53","4,976.00","3,274.90","3,77,893","1,82,42,88,379.65","31,237"
"19-Jul-2024","EQ","4,905.00","4,925.00","4,820.20","4,941.10","4,857.10","4,850.70","4,852.07","4,976.00","3,274.90","6,62,969","3,21,67,71,308.25","51,650"
"18-Jul-2024","EQ","4,818.00","4,965.00","4,784.95","4,916.10","4,927.85","4,941.10","4,883.14","4,976.00","3,274.90","7,73,064","3,77,49,80,887.35","70,225"
"16-Jul-2024","EQ","4,881.40","4,935.65","4,861.00","4,881.35","4,920.00","4,916.10","4,914.94","4,976.00","3,274.90","6,64,540","3,26,61,73,774.55","58,596"
"15-Jul-2024","EQ","4,851.05","4,917.00","4,825.60","4,860.70","4,885.00","4,881.35","4,879.31","4,976.00","3,274.90","2,23,485","1,09,04,52,525.20","21,812"
"12-Jul-2024","EQ","4,828.55","4,879.20","4,815.00","4,828.65","4,857.00","4,860.70","4,851.24","4,976.00","3,160.00","2,90,823","1,41,08,51,573.60","30,521"
"11-Jul-2024","EQ","4,878.95","4,885.00","4,805.85","4,849.15","4,850.05","4,828.65","4,831.61","4,976.00","3,160.00","3,08,708","1,49,15,56,684.60","45,947"
"10-Jul-2024","EQ","4,842.00","4,955.00","4,795.00","4,828.70","4,836.45","4,849.15","4,868.27","4,976.00","3,160.00","8,32,007","4,05,04,38,327.45","79,879"
"09-Jul-2024","EQ","4,757.60","4,838.00","4,742.00","4,754.45","4,825.00","4,828.70","4,780.07","4,976.00","3,160.00","6,31,367","3,01,79,81,529.10","59,333"
"08-Jul-2024","EQ","4,758.95","4,775.00","4,716.00","4,737.30","4,752.55","4,754.45","4,749.65","4,976.00","3,160.00","5,42,470","2,57,65,42,834.80","33,016"
"05-Jul-2024","EQ","4,700.05","4,748.80","4,698.60","4,689.50","4,723.00","4,737.30","4,730.11","4,976.00","3,160.00","2,58,687","1,22,36,18,540.65","34,648"
"04-Jul-2024","EQ","4,692.30","4,725.00","4,662.00","4,692.30","4,685.00","4,689.50","4,691.93","4,976.00","3,160.00","3,13,153","1,46,92,92,345.10","31,878"
"03-Jul-2024","EQ","4,643.65","4,703.75","4,638.10","4,625.75","4,700.00","4,692.30","4,683.06","4,976.00","3,160.00","2,57,361","1,20,52,36,970.50","34,022"
"02-Jul-2024","EQ","4,635.90","4,699.10","4,592.90","4,635.55","4,634.85","4,625.75","4,626.83","4,976.00","3,160.00","8,65,321","4,00,36,94,690.80","92,168"
"01-Jul-2024","EQ","4,640.00","4,729.45","4,626.00","4,672.95","4,630.00","4,635.55","4,650.92","4,976.00","3,160.00","13,64,796","6,34,75,61,146.10","91,866"
"28-Jun-2024","EQ","4,713.80","4,733.95","4,655.30","4,713.80","4,667.90","4,672.95","4,684.48","4,976.00","3,160.00","9,39,279","4,40,00,35,451.55","51,220"
"27-Jun-2024","EQ","4,722.00","4,766.45","4,682.05","4,739.70","4,712.05","4,713.80","4,716.69","4,976.00","3,160.00","10,87,487","5,12,93,36,953.05","1,06,336"
"26-Jun-2024","EQ","4,775.05","4,807.40","4,720.00","4,775.05","4,738.00","4,739.70","4,751.86","4,976.00","3,160.00","6,00,784","2,85,48,43,183.10","45,507"
"25-Jun-2024","EQ","4,870.90","4,896.00","4,762.05","4,870.90","4,785.00","4,775.05","4,809.22","4,976.00","3,160.00","6,60,144","3,17,47,75,970.15","43,466"
"24-Jun-2024","EQ","4,838.00","4,888.70","4,794.20","4,845.50","4,875.00","4,870.90","4,854.18","4,976.00","3,160.00","3,02,473","1,46,82,58,216.50","42,512"
"21-Jun-2024","EQ","4,876.90","4,925.30","4,820.00","4,876.90","4,830.30","4,845.50","4,881.31","4,976.00","3,160.00","4,14,677","2,02,41,68,826.35","50,927"
"20-Jun-2024","EQ","4,885.35","4,924.90","4,843.05","4,880.75","4,895.00","4,876.90","4,874.92","4,976.00","3,160.00","6,37,364","3,10,70,98,335.70","69,810"
"19-Jun-2024","EQ","4,940.00","4,963.70","4,850.00","4,936.10","4,865.00","4,880.75","4,894.46","4,976.00","3,160.00","6,52,617","3,19,42,10,355.85","62,338"
"18-Jun-2024","EQ","4,940.00","4,976.00","4,912.55","4,935.10","4,930.00","4,936.10","4,948.22","4,976.00","3,160.00","7,06,641","3,49,66,18,624.85","49,358"
"14-Jun-2024","EQ","4,817.50","4,945.00","4,801.50","4,801.50","4,929.00","4,935.10","4,883.22","4,945.00","3,160.00","5,49,131","2,68,15,30,194.20","43,855"
"13-Jun-2024","EQ","4,886.95","4,889.60","4,768.00","4,850.65","4,799.05","4,801.50","4,800.52","4,908.00","3,160.00","8,40,780","4,03,61,77,270.25","63,123"
"12-Jun-2024","EQ","4,765.00","4,873.45","4,745.00","4,758.65","4,845.00","4,850.65","4,814.42","4,908.00","3,160.00","5,23,152","2,51,86,74,271.20","48,938"
"11-Jun-2024","EQ","4,810.00","4,811.95","4,744.05","4,782.75","4,757.10","4,758.65","4,772.30","4,908.00","3,160.00","7,33,966","3,50,27,04,778.40","58,529"
"10-Jun-2024","EQ","4,769.60","4,800.00","4,757.00","4,762.00","4,779.80","4,782.75","4,781.39","4,908.00","3,160.00","3,01,649","1,44,23,01,104.20","28,628"
"07-Jun-2024","EQ","4,700.00","4,769.00","4,670.10","4,719.75","4,759.00","4,762.00","4,730.48","4,908.00","3,160.00","4,19,417","1,98,40,45,501.80","43,858"
"06-Jun-2024","EQ","4,579.00","4,727.00","4,538.30","4,579.00","4,711.00","4,719.75","4,664.98","4,908.00","3,160.00","7,48,915","3,49,36,74,883.15","97,194"
"05-Jun-2024","EQ","4,539.10","4,647.45","4,495.00","4,495.40","4,560.00","4,579.00","4,581.62","4,908.00","3,160.00","4,68,061","2,14,44,77,222.25","66,641"
"04-Jun-2024","EQ","4,679.90","4,706.85","4,253.85","4,670.85","4,548.95","4,495.40","4,509.96","4,908.00","3,160.00","9,20,927","4,15,33,44,077.05","1,02,452"
"03-Jun-2024","EQ","4,800.00","4,800.00","4,640.00","4,733.45","4,670.00","4,670.85","4,684.41","4,908.00","3,160.00","10,70,710","5,01,56,48,988.65","1,14,519"
"31-May-2024","EQ","4,742.20","4,790.00","4,668.25","4,742.95","4,742.05","4,733.45","4,726.58","4,908.00","3,160.00","11,37,018","5,37,42,08,703.85","68,528"
"30-May-2024","EQ","4,709.75","4,770.00","4,704.70","4,745.40","4,760.00","4,742.95","4,739.40","4,908.00","3,160.00","4,31,385","2,04,45,08,020.95","55,514"
"29-May-2024","EQ","4,746.00","4,808.85","4,724.25","4,770.95","4,757.25","4,745.40","4,764.25","4,908.00","3,160.00","5,48,865","2,61,49,32,420.95","32,255"
"28-May-2024","EQ","4,793.30","4,825.50","4,760.00","4,793.30","4,765.00","4,770.95","4,787.47","4,908.00","3,160.00","3,33,511","1,59,66,74,972.45","68,693"
"27-May-2024","EQ","4,861.05","4,907.00","4,770.00","4,880.95","4,796.65","4,793.30","4,816.06","4,908.00","3,160.00","6,55,641","3,15,76,07,238.70","65,890"
"24-May-2024","EQ","4,822.50","4,908.00","4,807.40","4,852.85","4,880.15","4,880.95","4,860.44","4,908.00","3,160.00","5,45,727","2,65,24,71,405.50","63,194"
"23-May-2024","EQ","4,696.65","4,867.85","4,682.55","4,695.45","4,855.00","4,852.85","4,799.10","4,867.85","3,160.00","9,22,926","4,42,92,12,097.90","95,277"
"22-May-2024","EQ","4,673.00","4,707.65","4,665.50","4,672.95","4,692.00","4,695.45","4,686.81","4,742.95","3,160.00","2,01,187","94,29,25,859.50","22,934"
"21-May-2024","EQ","4,650.00","4,728.85","4,650.00","4,684.40","4,671.20","4,672.95","4,684.55","4,742.95","3,160.00","5,00,742","2,34,57,49,941.55","80,617"
"18-May-2024","EQ","4,717.90","4,717.90","4,667.00","4,693.90","4,685.00","4,684.40","4,685.69","4,742.95","3,160.00","23,597","11,05,68,329.15","2,843"
"17-May-2024","EQ","4,660.00","4,700.00","4,622.00","4,681.75","4,680.95","4,693.90","4,675.84","4,742.95","3,160.00","2,87,570","1,34,46,30,864.90","34,231"
"16-May-2024","EQ","4,650.00","4,697.95","4,543.10","4,649.35","4,663.05","4,681.75","4,624.29","4,742.95","3,160.00","8,45,652","3,91,05,43,633.80","1,24,928"
"15-May-2024","EQ","4,730.55","4,730.55","4,598.10","4,730.55","4,648.00","4,649.35","4,652.35","4,742.95","3,160.00","10,82,300","5,03,52,36,398.05","76,145"
"14-May-2024","EQ","4,667.40","4,742.95","4,651.10","4,657.45","4,730.65","4,730.55","4,694.96","4,742.95","3,160.00","8,70,035","4,08,47,76,229.80","67,820"
"13-May-2024","EQ","4,679.00","4,733.80","4,528.30","4,657.85","4,667.35","4,657.45","4,652.33","4,733.80","3,160.00","17,38,770","8,08,93,35,401.65","1,41,022"
"10-May-2024","EQ","4,590.00","4,689.05","4,556.40","4,568.05","4,670.00","4,657.85","4,627.61","4,708.00","3,160.00","4,71,148","2,18,02,89,607.15","54,618"
"09-May-2024","EQ","4,580.00","4,708.00","4,541.50","4,600.10","4,552.20","4,568.05","4,618.18","4,708.00","3,160.00","9,80,283","4,52,71,21,300.80","1,17,403"
"08-May-2024","EQ","4,585.00","4,634.00","4,560.95","4,622.40","4,600.05","4,600.10","4,597.72","4,689.95","3,160.00","6,13,158","2,81,91,31,435.90","51,379"
"07-May-2024","EQ","4,605.00","4,655.00","4,570.00","4,599.00","4,610.00","4,622.40","4,610.13","4,689.95","3,160.00","5,05,027","2,32,82,39,844.20","46,726"
"06-May-2024","EQ","4,613.00","4,668.80","4,581.25","4,599.25","4,598.05","4,599.00","4,615.12","4,689.95","3,160.00","7,16,536","3,30,69,01,661.75","51,591"
"03-May-2024","EQ","4,623.00","4,655.60","4,580.00","4,602.40","4,600.00","4,599.25","4,607.97","4,689.95","3,160.00","5,62,484","2,59,19,11,559.90","49,331"
"02-May-2024","EQ","4,598.00","4,634.10","4,546.40","4,597.40","4,600.00","4,602.40","4,594.29","4,689.95","3,160.00","9,08,139","4,17,22,54,513.05","1,12,337"
"30-Apr-2024","EQ","4,578.00","4,689.95","4,578.00","4,571.85","4,615.50","4,597.40","4,630.13","4,689.95","3,160.00","6,63,752","3,07,32,57,205.70","75,512"
"29-Apr-2024","EQ","4,589.00","4,603.55","4,532.60","4,601.00","4,578.00","4,571.85","4,564.05","4,632.85","3,160.00","4,65,907","2,12,64,23,723.30","60,093"
"26-Apr-2024","EQ","4,591.00","4,632.85","4,572.00","4,615.20","4,605.00","4,601.00","4,602.63","4,632.85","3,156.15","3,64,193","1,67,62,45,727.85","36,524"
"25-Apr-2024","EQ","4,568.00","4,629.50","4,486.00","4,530.70","4,591.60","4,615.20","4,558.58","4,629.50","3,156.15","12,60,511","5,74,61,35,265.80","1,12,060"
"24-Apr-2024","EQ","4,545.00","4,571.65","4,514.80","4,520.15","4,530.00","4,530.70","4,548.64","4,571.65","3,156.15","9,19,636","4,18,30,88,977.50","83,625"
"23-Apr-2024","EQ","4,472.05","4,534.90","4,445.00","4,466.95","4,531.00","4,520.15","4,497.47","4,534.90","3,156.15","7,40,619","3,33,09,11,597.35","67,959"
"22-Apr-2024","EQ","4,394.00","4,485.00","4,370.40","4,344.15","4,468.00","4,466.95","4,454.76","4,485.00","3,156.15","7,81,218","3,48,01,37,401.75","78,147"
"19-Apr-2024","EQ","4,345.00","4,369.45","4,261.30","4,351.20","4,340.05","4,344.15","4,320.63","4,444.00","3,156.15","7,19,002","3,10,65,40,326.00","80,376"
"18-Apr-2024","EQ","4,356.00","4,444.00","4,338.05","4,355.70","4,368.00","4,351.20","4,394.96","4,444.00","3,156.15","13,16,876","5,78,76,23,192.50","1,33,246"
"16-Apr-2024","EQ","4,217.40","4,404.00","4,206.30","4,219.35","4,348.00","4,355.70","4,344.68","4,404.00","3,156.15","14,67,677","6,37,65,89,834.20","1,36,315"
"15-Apr-2024","EQ","4,250.00","4,317.85","4,193.75","4,302.25","4,260.00","4,219.35","4,257.83","4,382.80","3,156.15","8,60,133","3,66,22,97,391.35","52,507"
"12-Apr-2024","EQ","4,310.00","4,382.80","4,267.80","4,315.10","4,305.00","4,302.25","4,337.34","4,382.80","2,951.15","11,33,493","4,91,63,47,410.10","67,079"
"10-Apr-2024","EQ","4,250.00","4,335.00","4,222.05","4,248.65","4,297.60","4,315.10","4,270.93","4,335.00","2,951.15","10,18,246","4,34,88,61,773.75","1,05,725"
"09-Apr-2024","EQ","4,247.80","4,267.90","4,137.50","4,205.75","4,251.00","4,248.65","4,196.80","4,303.45","2,951.15","9,70,657","4,07,36,50,118.30","77,081"
"08-Apr-2024","EQ","4,024.95","4,303.45","4,011.60","4,031.25","4,189.00","4,205.75","4,206.78","4,303.45","2,951.15","21,65,986","9,11,18,17,746.30","1,98,006"
"05-Apr-2024","EQ","4,013.00","4,046.55","3,967.55","4,014.30","4,027.80","4,031.25","4,023.76","4,200.00","2,922.20","5,37,212","2,16,16,12,518.20","67,668"
"04-Apr-2024","EQ","3,957.00","4,030.00","3,892.05","3,934.20","4,005.00","4,014.30","3,976.90","4,200.00","2,922.20","9,32,478","3,70,83,67,855.35","1,21,609"
"03-Apr-2024","EQ","3,923.00","3,943.10","3,886.10","3,922.20","3,940.00","3,934.20","3,921.30","4,200.00","2,922.20","3,92,460","1,53,89,54,089.95","44,181"
"02-Apr-2024","EQ","3,990.00","3,990.00","3,914.30","3,946.65","3,921.50","3,922.20","3,930.17","4,200.00","2,922.20","4,85,047","1,90,63,15,633.35","39,989"
"01-Apr-2024","EQ","4,060.80","4,070.00","3,936.50","4,019.30","3,952.40","3,946.65","3,980.39","4,200.00","2,922.20","5,32,524","2,11,96,55,493.15","47,636"
"28-Mar-2024","EQ","3,915.30","4,075.00","3,891.75","3,913.80","4,026.00","4,019.30","4,016.60","4,200.00","2,836.00","13,07,106","5,25,01,25,066.05","1,29,420"
"27-Mar-2024","EQ","3,934.80","3,987.00","3,905.80","3,911.10","3,915.20","3,913.80","3,953.09","4,200.00","2,836.00","5,10,950","2,01,98,28,942.10","50,265"
"26-Mar-2024","EQ","4,001.45","4,042.50","3,907.10","3,988.40","3,919.20","3,911.10","3,945.11","4,200.00","2,836.00","7,72,158","3,04,62,45,492.10","75,089"
"22-Mar-2024","EQ","3,945.00","4,013.95","3,863.20","3,918.95","3,990.00","3,988.40","3,953.32","4,200.00","2,836.00","10,33,237","4,08,47,20,443.50","75,272"
"21-Mar-2024","EQ","3,881.35","3,949.00","3,881.00","3,873.60","3,933.65","3,918.95","3,918.24","4,200.00","2,836.00","8,38,929","3,28,71,25,201.55","87,735"
"20-Mar-2024","EQ","3,821.00","3,940.00","3,821.00","3,716.85","3,875.00","3,873.60","3,890.81","4,200.00","2,836.00","30,45,475","11,84,93,61,581.50","1,82,175"
"19-Mar-2024","EQ","3,699.70","3,730.00","3,672.00","3,699.70","3,730.00","3,716.85","3,701.20","4,200.00","2,836.00","5,59,402","2,07,04,56,668.45","38,085"
"18-Mar-2024","EQ","3,745.00","3,745.00","3,681.70","3,745.65","3,705.00","3,699.70","3,706.60","4,200.00","2,836.00","5,33,167","1,97,62,36,767.75","54,347"
"15-Mar-2024","EQ","3,772.65","3,779.95","3,707.05","3,772.65","3,747.50","3,745.65","3,741.63","4,200.00","2,836.00","4,87,749","1,82,49,77,616.85","42,068"
"14-Mar-2024","EQ","3,717.00","3,803.75","3,686.25","3,735.55","3,764.95","3,772.65","3,759.72","4,200.00","2,836.00","7,20,948","2,71,05,63,810.90","1,09,755"
"13-Mar-2024","EQ","3,811.55","3,852.40","3,715.00","3,810.75","3,726.00","3,735.55","3,778.52","4,200.00","2,836.00","4,28,324","1,61,84,29,324.45","58,922"
"12-Mar-2024","EQ","3,804.40","3,855.80","3,771.00","3,783.90","3,811.50","3,810.75","3,823.15","4,200.00","2,836.00","5,28,035","2,01,87,56,707.25","58,658"
"11-Mar-2024","EQ","3,795.45","3,814.95","3,770.00","3,785.25","3,775.05","3,783.90","3,791.28","4,200.00","2,836.00","3,73,335","1,41,54,16,573.05","47,290"
